Broad druggable gene	HGNC ID 	Location 	Count	Broad CTD2 440 compound plates	Status	TARGET_NODES
CREBBP 	HGNC:2348 	16p13.3 	111	Brd-K13999467	GE- active 	
CSF1R 	HGNC:2433 	5q32 	112	Brd-K14844214	GE- active 	
CSNK1A1 	HGNC:2451 	5q32 	113	R428	probe 	AXL
CSNK1D 	HGNC:2452 	17q25 	114	Gemcitabine	FDA 	RRM1;TYMS;CMPK
CSNK1E 	HGNC:2453 	22q13.1 	115	Nvp-Adw742	probe 	IGF1R
CSNK2A1 	HGNC:2457 	20p13 	116	Prima-1	probe 	TP53
CSNK2A2 	HGNC:2459 	16q21 	117	Phloretin;Dihydronaringenin;Phloretol;Naringenin Chalcone	probe 	
CTLA4 	HGNC:2505 	2q33 	118	Obatoclax	clinical 	BCL2;MCL1;BCL2L1
CTNNB1 	HGNC:2514 	3p21 	119	Chir-99021;Ct99021	probe 	GSK3A;GSK3B
CUL1 	HGNC:2551 	7q36.1 	120	Plx-4720	probe 	BRAF
CUL4A 	HGNC:2554 	13q34 	121	Regorafenib;Bay-73-4506;Stivarga	FDA 	FLT1;KDR;FLT4;PDGFRB;KIT;RET;RAF1
CUL4B 	HGNC:2555 	Xq23 	122	Sotrastaurin;Aeb071	clinical 	PRKCB
CXCR2 	HGNC:6027 	2q35 	123	Brd-K17060750	GE- active 	
CXCR4 	HGNC:2561 	2q21 	124	Bendamustine;Bendamustine Hydrochloride;Treakisym;Ribomustin;Levact;Treanda	FDA 	
CYP17A1 	HGNC:2593 	10q24.3 	125	Sch-79797	probe 	F2R
CYP19A1 	HGNC:2594 	15q21 	126	Hli-373;Dpd	probe 	MDM2
DDB1 	HGNC:2717 	11q12.2 	127	Indisulam;E7070	clinical 	CA1;CA2;CA3;CA4;CA7;CA9;CA12;CA13;CA14
DHFR 	HGNC:2861 	5q14.1 	128	Belinostat;Pxd-101	clinical 	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
DIABLO 	HGNC:21528 	12q24.31 	129	Tl-32711	clinical 	DIABLO;XIAP
DLL4 	HGNC:2910 	15q14 	130	Mk-0752	clinical 	NCSTN;PSEN1;PSENEN;APH1A
DNM1 	HGNC:2972 	9q34 	131	Brd-K19103580	GE- active 	
DNMT1 	HGNC:2976 	19p13.2 	132	Gossypol	clinical 	BAX;BCL2;PRKCI
DOT1L 	HGNC:24948 	19p13.3 	133	Prochlorperazine;Prochlorperazine Dimaleate;Compazine	FDA 	DRD2
DPP4 	HGNC:3009 	2q24.2 	134	Sitagliptin	FDA 	DPP4
DRD2 	HGNC:3023 	11q23.2 	135	Sgx-523	clinical 	MET
EDNRB 	HGNC:3180 	13q22 	136	Saracatinib;Azd0530	clinical 	SRC;ABL1
EGFR 	HGNC:3236 	7p12 	137	Lapatinib;Gw572016;Gw2016;Tykerb;Tyverb	FDA 	EGFR;ERBB2
EHMT1 	HGNC:24650 	9q34.3 	138	Nvp-Lde225;Brd6430	probe 	PARP1;PARP2
EHMT2 	HGNC:14129 	6p21.3 	139	Mst-312	probe 	TERT
ENPP3 	HGNC:3358 	6q22 	140	R-406	clinical 	SYK
EP300 	HGNC:3373 	22q13.2 	141	Ski-Ii	probe 	SPHK1
EPCAM 	HGNC:11529 	2p21 	142	Kw 2449	clinical 	FLT3;ABL1;AURKA
EPHA2 	HGNC:3386 	1p36 	143	Ro4929097	clinical 	NCSTN;PSEN1;PSENEN;APH1A
ERBB2 	HGNC:3430 	17q11.2-q12 	144	Simvastatin;Zocor	FDA 	HMGCR
ERBB3 	HGNC:3431 	12q13 	145	Stf-31	probe 	SLC2A1
ERBB4 	HGNC:3432 	2q33.3-q34 	146	"1S,3R-Rsl-3"	probe 	
ERG 	HGNC:3446 	21q22.3 	147	Sorafenib;Bay-43-9006;Nexavar	FDA 	BRAF;RAF1;KDR;FLT3;FLT4;PDGFRB;KIT
ESR1 	HGNC:3467 	6q24-q27 	148	Piperlongumine	probe 	
ESR2 	HGNC:3468 	14q21-q22 	149	Sch-529074	probe 	TP53
ETV1 	HGNC:3490 	7p22 	150	Fsc231	probe 	PICK1
EWSR1 	HGNC:3508 	22q12.2 	151	Fluorouracil;Adrucil;5-Fluorouracil;5-Fu;Efudex	FDA 	TYMS
EZH2 	HGNC:3527 	7q35-q36 	152	Ku-55933	probe 	ATM
F2R 	HGNC:3537 	5q13 	153	Osi-930	clinical 	MET;KDR
FAAH 	HGNC:3553 	1p35-p34 	154	Cd-1530	probe 	RARG
FASN 	HGNC:3594 	17q25 	155	Brd-K26531177	probe 	
FGFR1 	HGNC:3688 	8p11.23-p11.22 	156	Pd 153035	probe 	EGFR
FGFR2 	HGNC:3689 	10q25.3-q26 	157	Cytochalasin B	probe 	
FGFR3 	HGNC:3690 	4p16.3 	158	Bix-01294	probe 	EHMT2
FGFR4 	HGNC:3691 	5q35.2 	159	Brd-K27224038	GE- active 	
FLI1 	HGNC:3749 	11q24.1-q24.3 	160	Leptomycin B	probe 	XPO1
FLT1 	HGNC:3763 	13q12 	161	Lomeguatrib	clinical 	MGMT
FLT3 	HGNC:3765 	13q12 	162	Brd-K27986637	probe 	BCL2;BCL2L1
FLT4 	HGNC:3767 	5q34-q35 	163	Tw-37	probe 	
FNTA 	HGNC:3782 	8p11.21 	164	Azd4547	clinical 	FGFR1;FGFR2;FGFR3
FNTB 	HGNC:3785 	14q23.3 	165	Brivanib;Bms-582664	clinical 	KDR
FOLH1 	HGNC:3788 	11p11.2 	166	Napthofuran Compound 5	probe 	HNF4A
FYN 	HGNC:4037 	6q21 	167	Cd-437;Ahpn	probe 	RARG
FZD7 	HGNC:4045 	2q33 	168	Brd-K29086754	GE- active 	
GLI1 	HGNC:4317 	12q13.3 	169	Brd-K29313308	probe 	HDAC3
GLS 	HGNC:4331 	2q32-q34 	170	Pik-93	probe 	PIK3CG;PI4KB
GM2A 	HGNC:4367 	5q33.1 	171	Chlorambucil;Leukeran	FDA 	
GNRH1 	HGNC:4419 	8p21-p11.2 	172	Nsc30930;5-(Benzyloxy)-1H-Indole-2-Carboxylic Acid	probe 	
GSK3A 	HGNC:4616 	19q13 	173	Axitinib;Ag013736;Inlyta	FDA 	KDR;FLT4
GSK3B 	HGNC:4617 	3q13.3 	174	Kx2-391;Kx01	clinical 	SRC
GUCY2C 	HGNC:4688 	12p12 	175	Brd-K30019337	GE- active 	
HDAC1 	HGNC:4852 	1p34 	176	Compound 1452A;Brd4966	probe 	CASP3;CASP6;CASP7
HDAC10 	HGNC:18128 	22q13.31 	177	Cdk9 Inhibitor 14	probe 	CDK9
HDAC11 	HGNC:19086 	3p25.1 	178	Vu0155056	probe 	PLD1
HDAC2 	HGNC:4853 	6q21 	179	Peranib-2	probe 	ASAH1;ASAH2;ASAH2B;ASAH2C;ACER1;ACER2;ACER3
HDAC3 	HGNC:4854 	5q31.1-q31.2 	180	Ver-155008	probe 	HSPA1A;HSPA1B;HSPA1L
HDAC4 	HGNC:14063 	2q37.3 	181	Agk-2	probe 	SIRT2
HDAC5 	HGNC:14068 	17q21 	182	Cytarabine;Cytosine Arabinoside;Cytosar-U;Depocyt;Ara-C	FDA 	
HDAC6 	HGNC:14064 	Xp11.23 	183	Brd-K33199242	GE- active 	
HDAC7 	HGNC:14067 	12q13.1 	184	Tivantinib;Arq-197	clinical 	MET
HDAC8 	HGNC:13315 	Xq13 	185	Brd-K33514849	probe 	
HDAC9 	HGNC:14065 	7p21.1 	186	Isoliquiritigenin;Gu 17	probe 	SIRT1
HGF 	HGNC:4893 	7q21.1 	187	Clofarabine;Clolar	FDA 	POLA1;POLA2;POLE;RRM1
HMGCR 	HGNC:5006 	5q13.3-q14 	188	Brd-K34099515	probe 	
HMGCS1 	HGNC:5007 	5p12 	189	Cimetidine;Tagamet	FDA 	HRH2
HNF4A 	HGNC:5024 	20q13.12 	190	Brd-K34222889	probe 	
HRH2 	HGNC:5183 	5q35 	191	Brd-K34485477	GE- active 	
HSP90AA1 	HGNC:5253 	14q32.33 	192	Bms-536924	probe 	IGF1R;INSR
HSP90AA2 	HGNC:5256 	11p14.1 	193	Dacarbazine;Dtic-Dome	FDA 	
HSP90AB1 	HGNC:5258 	6p12 	194	Ouabain	probe 	ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1 B3;A TP1B4
HSP90B1 	HGNC:12028 	12q24.2-q24.3 	195	Brd6340	probe 	MYC
HSPA1A 	HGNC:5232 	6p21.3 	196	Darinaparsin	clinical 	
HSPA1B 	HGNC:5233 	6p21.3 	197	Niclosamide;Niclocide	FDA 	STAT3
HSPA1L 	HGNC:5234 	6p21.3 	198	Ku-60019	probe 	ATM
IDH1 	HGNC:5382 	2q34 	199	Gsk1210151A;I-Bet151	probe 	BRD2;BRD3;BRD4
IFNA2 	HGNC:5423 	9p22 	200	Stemregenin 1;Sr1	probe 	AHR
IGF1 	HGNC:5464 	12q23.2 	201	Brd-K37390332	GE- active 	
IGF1R 	HGNC:5465 	15q26.3 	202	Sb-525334	probe 	TGFBR1
IGF2 	HGNC:5466 	11p15.5 	203	Pf-3758309	probe 	PAK4
IKBKB 	HGNC:5960 	8p11.2 	204	Etoposide	FDA 	TOP2A
IKBKE 	HGNC:14552 	1q32.1 	205	Ly-2183240	probe 	FAAH
IL12RB1 	HGNC:5971 	19p13.1 	206	Nsc19630	probe 	WRN
IL21 	HGNC:6005 	4q26-q27 	207	Lenvatinib;E7080	FDA 	KDR;FL T4
IL6 	HGNC:6018 	7p15.3 	208	S3I-201;Nsc74859	probe 	STAT3
INSR 	HGNC:6091 	19p13.3-p13.2 	209	Brd-K41334119	GE- active 	
ITGA2 	HGNC:6137 	5q11.2 	210	Brd-K41597374	GE- active 	
JAK1 	HGNC:6190 	1p32.3-p31.3 	211	Palmostatin B	probe 	LYPLA1
JAK2 	HGNC:6192 	9p24 	212	Mm_V_Gsk_2D1	probe 	EZH2
JAK3 	HGNC:6193 	19p13-p12 	213	Sunitinib;Sutent;Su11248	FDA 	FLT1;KDR;FLT4;FLT3;PDGFRB;KIT;RET;CSF1R
JMJD6 	HGNC:19355 	17q25 	214	Myricetin	probe 	STX1A;V AMP1;SNAP25
KDM1A 	HGNC:29079 	1p36.12 	215	Sns-032;Bms-387032	clinical 	CDK2;CDK7;CDK9
KDM3A 	HGNC:20815 	2p11.2 	216	Mln-2480	clinical 	ARAF;BRAF;RAF1
KDM4A 	HGNC:22978 	1p34.1 	217	Pf-4800567 Hydrochloride	probe 	CSNK1D;CSNK1E
KDM4B 	HGNC:29136 	19p13.3 	218	Wp1130	probe 	USP9X;USP5;USP14;UCHL5
KDM4C 	HGNC:17071 	9p24-p23 	219	Brd-K44224150	GE- active 	
KDM4D 	HGNC:25498 	11q21 	220	Asn-05257430;T6909415;Brd1590	probe 	PKM
KDM6A 	HGNC:12637 	Xp11.2 	221	Pandacostat	probe 	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
KDM6B 	HGNC:29012 	17p13.1 	222	Betulinic Acid	probe 	SP1
KDR 	HGNC:6307 	4q11-q12 	223	Brd-K45681478	probe 	
KIF11 	HGNC:6388 	10q24.1 	224	Nsc48300	probe 	TASP1
KIT 	HGNC:6342 	4q12 	225	Iu1	probe 	USP14
KLF5 	HGNC:6349 	13q21.3 	226	Bms-195614	probe 	RARA;RARB;RARG
KPNB1 	HGNC:6400 	17q21.32 	227	Ki8751	probe 	KIT;KDR;PDGFRA;FGFR2
KRAS 	HGNC:6407 	12p12.1 	228	Gmx-1778;Chs-828	clinical 	NAMPT
LAP3 	HGNC:18449 	4p15.33 	229	Repligen 136	probe 	HDAC3
LCK 	HGNC:6524 	1p34.3 	230	Sr1001	probe 	RORA;RORC
LRRK2 	HGNC:18618 	12q12 	231	Brd-K48334597	GE- active 	
LYPLA1 	HGNC:6737 	8q11.23 	232	Nintedanib;Bibf 1120;Vargatef	clinical 	FLT1;KDR;FLT4;PDGFRA;PDGFRB;FGFR1;FGFR2;FGFR3
MAGEA3 	HGNC:6801 	Xq28 	233	Gsk-2636771	clinical 	PIK3CB
MAP2K1 	HGNC:6840 	15q22.1-q22.33 	234	Brd-K49290616	GE- active 	
MAP2K2 	HGNC:6842 	19p13.3 	235	Dasatinib;Bms-354825;Sprycel	FDA 	ABL1;SRC;EPHA2;LCK;YES1;KIT;PDGFRB;STAT5B;ABL2; FYN
MAP3K8 	HGNC:6860 	10p11.2 	236	Prima-1-Met;Apr-246	probe 	TP53
MAPK10 	HGNC:6872 	4q22-q23 	237	Abiraterone;Zytiga	FDA 	CYP17A1
MAPK14 	HGNC:6876 	6p21.3-p21.2 	238	Sildenafil;Viagra;Revatio	FDA 	PDE5A
MAPK3 	HGNC:6877 	16p11.2 	239	Nvp-Tae684	probe 	ALK
MAPK8 	HGNC:6881 	10q11 	240	Necrostatin-7	probe 	
MAPK9 	HGNC:6886 	5q35 	241	Canertinib;Ci-1033	clinical 	EGFR;ERBB2
MAPKAP1 	HGNC:18752 	9q34.11 	242	Hbx-41108	probe 	USP7
MCL1 	HGNC:6943 	1q21 	243	Brd-K50799972	GE- active 	
MDM2 	HGNC:6973 	12q13-q14 	244	Brd-K51490254	probe 	HDAC6;HDAC8
MEN1 	HGNC:7010 	11q13 	245	Cabozantinib;Cometriq;Xl184;Bms-907351	FDA 	MET;FLT3;KDR;KIT;TEK
MET 	HGNC:7029 	7q31 	246	Tpca-1	probe 	NFKB1
MGMT 	HGNC:7059 	10q26 	247	Ikk-3 Inhibitor Ix	probe 	IKBKE
MLST8 	HGNC:24825 	16p13.3 	248	Brd-K52037352	GE- active 	
MMP1 	HGNC:7155 	11q22.2 	249	Cerulenin	probe 	FASN;HMGCS1
MS4A1 	HGNC:7315 	11q12.2 	250	Ci-994	probe 	HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
MSLN 	HGNC:7371 	16p13.3 	251	Methylstat	probe 	KDM3A;KDM4A;KDM4B;KDM4C;KDM4D;JMJD6
MTOR 	HGNC:3942 	1p36 	252	Azd7545	probe 	PDK2
MUC16 	HGNC:15582 	19p13.2 	253	Gdc-0941	clinical 	PIK3CA;PIK3CB;PIK3CD;PIK3CG
MYC 	HGNC:7553 	8q24 	254	Chembridge Cat# 7667791	probe 	TNKS
MYH1 	HGNC:7567 	17p13.1 	255	Tivozanib;A V-951;Brd4658	clinical 	KDR
MYH2 	HGNC:7572 	17p13.1 	256	Bec;S-(2-Boronoethyl)-L-Cysteine	probe 	ARG1;ARG2
NAE1 	HGNC:621 	16q22 	257	Srt-1720	probe 	SIRT1
NAMPT 	HGNC:30092 	7q22.3 	258	"Brd3639;Chembl1222381;Neuronal Differentiation Inducer Iii,;Ndi Iii"	probe 	NEUROD1;NEUROD2
NCEH1 	HGNC:29260 	3q26.31 	259	Ruxolitinib;Incb018424;Jakafi;Jakavi	FDA 	JAK1;JAK2
NCSTN 	HGNC:17091 	1q22-q23 	260	Mk-1775	clinical 	WEE1
NEDD8 	HGNC:7732 	14q11.2 	261	Jq-1	probe 	BRDT
NEUROD1 	HGNC:7762 	2q32 	262	Way-362450;Fxr450	probe 	NR1H4
NEUROD2 	HGNC:7763 	17q12 	263	Byl-719	clinical 	PIK3CA
NFKB1 	HGNC:7794 	4q24 	264	Brd-K55116708	probe 	
NOTCH1 	HGNC:7881 	9q34.3 	265	Sz4Ta2	probe 	BCL2L1
NOTCH2 	HGNC:7882 	1p13-p11 	266	Rigosertib;On-01910;Estybon;Novonex	clinical 	PLK1
NOTCH3 	HGNC:7883 	19p13.12 	267	Brd-K55478147	probe 	HDAC6
NOTCH4 	HGNC:7884 	6p21.3 	268	Epigallocatechin-3-Monogallate	probe 	
NPEPPS 	HGNC:7900 	17q12-q21 	269	Topotecan;Hycamtin	FDA 	TOP1
NR1D1 	HGNC:7962 	17q11.2 	270	Mgcd-265	clinical 	FLT1;KDR;FLT4;MET;TEK
NR1H4 	HGNC:7967 	12q23.1 	271	Abt-737	clinical 	BCL2;BCL2L1;BCL2L2
NR3C1 	HGNC:7978 	5q31-q32 	272	Vemurafenib;Plx-4032;Rg7204;Zelboraf;Ro5185426	FDA 	BRAF
P2RX7 	HGNC:8537 	12q24 	273	Selumetinib;Azd6244	clinical 	MAP2K1;MAP2K2
PAK4 	HGNC:16059 	19q13.2 	274	Marinopyrrole A;Maritoclax	probe 	MCL1;ACTB
PARP1 	HGNC:270 	1q41-q42 	275	At13387	clinical 	HSP90AA1
PARP2 	HGNC:272 	14q11.2 	276	Apo866;Fk866;Brd0667	clinical 	NAMPT
PDE4A 	HGNC:8780 	19p13.2 	277	Azd6482	clinical 	PIK3CB
PDE4B 	HGNC:8781 	1p31 	278	Az-3146;Mps1-In-2	probe 	TTK
PDE4D 	HGNC:8783 	5q12 	279	Dbeq	probe 	VCP
PDE5A 	HGNC:8784 	4q27 	280	Tozasertib;Vx-680;Mk-0457	clinical 	AURKA;AURKB;AURKC
PDGFRA 	HGNC:8803 	4q12 	281	Bardoxolone Methyl;Cddo-Methyl Ester	clinical 	
PDGFRB 	HGNC:8804 	5q33.1 	282	Methotrexate;Abitrexate	FDA 	DHFR
PDK2 	HGNC:8810 	17q21.33 	283	Mitomycin C	FDA 	
